Device Name,Device Type,Category,Manufacturer,Model,Entity ID,Location (Austin/Sayville),Notes
Desk Lamp,Smart Socket,Indoor Lighting,Tuya,apz6vr20ihprbzx7,switch.desk_lamp,,
Backyard,Smart Socket,Outdoor Lighting,Tuya,apz6vr20ihprbzx7,switch.backyard,,
Xmas - Stair Rail,Smart Socket,Holiday Lighting,Tuya,apz6vr20ihprbzx7,switch.xmas_stair_rail,,
Xmas Tree,Smart Socket,Holiday Lighting,Tuya,apz6vr20ihprbzx7,switch.xmas_tree,,
Saturn,Smart Socket,Indoor Lighting,Tuya,apz6vr20ihprbzx7,switch.saturn,,
Backyard Switch (Kitchen Bench),Smart Socket,Indoor Lighting,Tuya,apz6vr20ihprbzx7,switch.backyard_switch_kitchen_bench,,
Pink Lightning,Smart Socket,Indoor Lighting,Tuya,apz6vr20ihprbzx7,switch.pink_lightning,,
Cloud and Moon,Smart Socket,Indoor Lighting,Tuya,apz6vr20ihprbzx7,switch.cloud_and_moon,,
Door Right,Smart Lamp,Indoor Lighting,Tuya,y5vhjlduoofemkoq,light.door_right,,
Porch Left,Smart Lamp,Outdoor Lighting,Tuya,y5vhjlduoofemkoq,light.porch_left,,
Door Left,Smart Lamp,Indoor Lighting,Tuya,y5vhjlduoofemkoq,light.door_left,,
Porch Right,Smart Lamp,Outdoor Lighting,Tuya,y5vhjlduoofemkoq,light.porch_right,,
Patio,Smart Socket,Outdoor Lighting,Tuya,octeoqhuayzof69q,switch.patio,,
Fish Tank,Smart Socket,Indoor Appliance,Tuya,octeoqhuayzof69q,switch.fish_tank,,
Anouk Server,Smart Socket,Server/IT,Tuya,octeoqhuayzof69q,switch.anouk_server,,
Fire Pit,Outdoor Dimmer Plug,Outdoor Heating,Tuya,rk9wwke99mdncz2n,switch.fire_pit,,
Dock,Smart Socket,Outdoor Lighting,Tuya,octeoqhuayzof69q,switch.dock,,
Spa Pool Deck,Smart Socket,Outdoor/Pool,Tuya,octeoqhuayzof69q,switch.spa_pool_deck,,
Fireplace Lamp,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.fireplace_lamp,,
Fireplace Tea Table,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.fireplace_tea_table,,
Tall Dining Room Lamp,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.tall_dining_room_lamp,,
Short Dining Room Lamp,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.short_dining_room_lamp,,
Fireplace office lamp,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.fireplace_office_lamp,,
Pond Pump,Smart Socket,Outdoor/Water,Tuya,octeoqhuayzof69q,switch.pond_pump,,
Tree Lights Boat side,Smart Socket,Outdoor Lighting,Tuya,octeoqhuayzof69q,switch.tree_lights_boat_side,,
Tree/fence lights,Smart Socket,Outdoor Lighting,Tuya,octeoqhuayzof69q,switch.tree_fence_lights,,
Marc's Bathroom Heated Floor,Smart Socket,Indoor Climate,Tuya,octeoqhuayzof69q,switch.marc_bathroom_heated_floor,,
Pathway Right,Smart Lamp,Outdoor Lighting,Tuya,y5vhjlduoofemkoq,light.pathway_right,,
Pathway Left,Smart Lamp,Outdoor Lighting,Tuya,y5vhjlduoofemkoq,light.pathway_left,,
Christmas Lights,Smart Socket,Holiday Lighting,Tuya,octeoqhuayzof69q,switch.christmas_lights,,
Jurassic Park,Smart Socket,Outdoor Lighting,Tuya,octeoqhuayzof69q,switch.jurassic_park,,
Cyn & Pia Switch,Smart Socket,Indoor Lighting,Tuya,octeoqhuayzof69q,switch.cyn_pia_switch,,
Lounge,Smart Switch,Indoor Lighting,Tuya,1ogqu4bxwzrjxu8v,switch.lounge,,
Christmas Garlin Rope,Smart Socket,Holiday Lighting,Tuya,octeoqhuayzof69q,switch.christmas_garlin_rope,,
Dinning Room Deck,Smart Switch,Indoor Lighting,Tuya,pJnpT0XcM5FTRjOd,switch.dinning_room_deck,,
Dinning Room Door,Smart Switch,Indoor Lighting,Tuya,pJnpT0XcM5FTRjOd,switch.dinning_room_door,,
