Device Name,IP Address,MAC Address,Type,Category,Location,Notes
Apple TV HD,10.1.1.130,00:04:4b:b1:4f:a3,Media Player,Entertainment,Sayville,Apple TV
HDHR-1067E1B1,10.1.1.181,00:18:dd:06:7e:1b,Tuner,Media,Sayville,HDHomeRun Tuner
Linux PC,10.1.1.137,00:22:75:24:ea:46,Computer,IT,Sayville,Linux Computer
Envoy,10.1.1.146,00:35:ff:32:47:9c,Energy Monitor,Energy,Sayville,Solar Panel Monitor
XSPQR,10.1.1.9,00:3e:e1:c8:f6:10,Server,IT,Sayville,Fixed IP Server
Amazon Echo,10.1.1.176,00:f3:61:7d:47:21,Smart Speaker,Voice,Sayville,Amazon Alexa
XSPQR WIFI,10.1.1.195,04:4b:ed:f0:71:b0,Server,IT,Sayville,XSPQR Wireless
Amazon Echo,10.1.1.75,08:a6:bc:79:d0:4f,Smart Speaker,Voice,Sayville,Amazon Alexa
Rachio 1,10.1.1.254,0c:2a:69:0e:93:48,Sprinkler,Outdoor,Sayville,Rachio Sprinkler Controller
TR100,10.1.1.150,0c:cf:89:b6:9f:5a,Camera,Security,Sayville,TR100 Camera
Amazon Echo,10.1.1.81,10:09:f9:88:68:43,Smart Speaker,Voice,Sayville,Amazon Alexa
ESP Device,10.1.1.6,10:52:1c:43:07:20,IoT,Unknown,Sayville,ESP8266/ESP32 Device
Nest Thermostat,10.1.1.80,14:c1:4e:31:cd:e1,Thermostat,Climate,Sayville,Nest Thermostat
Nest Thermostat,10.1.1.125,14:c1:4e:3c:df:ea,Thermostat,Climate,Sayville,Nest Thermostat
Nest Thermostat,10.1.1.22,14:c1:4e:5a:e2:20,Thermostat,Climate,Sayville,Nest Thermostat
Apple Watch SE,10.1.1.82,16:9d:e8:e7:5c:45,Watch,Mobile,Sayville,Apple Watch
Insignia Roku TV,10.1.1.31,1c:1e:e3:ca:ba:5b,TV,Entertainment,Sayville,Roku Smart TV
ESP Device,10.1.1.242,2c:3a:e8:2e:ae:b5,IoT,Unknown,Sayville,ESP8266/ESP32 Device
ESP Device,10.1.1.168,2c:3a:e8:2e:b1:14,IoT,Unknown,Sayville,ESP8266/ESP32 Device
Teckin Smart Plug,10.1.1.178,38:01:46:a9:1e:d0,Smart Plug,Lighting,Sayville,Teckin TC100
Teckin Smart Plug,10.1.1.107,38:01:46:a9:1f:1a,Smart Plug,Lighting,Sayville,Teckin TC100
Teckin Smart Plug,10.1.1.192,38:01:46:a9:97:75,Smart Plug,Lighting,Sayville,Teckin TC100
